SOURCE TYPE,SOLR_FIELD,PROCESSING,SOURCE
Solrizer - xpath query,subject_sim,"Take the node sets, flatten them into an array, and remove `nil` values and duplicates.  For  each element replace strings matching /|w{1}/ (MARC subfield demarcators) with ""--"".",//*[local-name()='subject' or local-name()='function' or local-name() = 'occupation']
Solrizer - xpath query,subject_teim,"Take the node sets, flatten them into an array, and remove `nil` values and duplicates.  For  each element replace strings matching /|w{1}/ (MARC subfield demarcators) with ""--"".",//*[local-name()='subject' or local-name()='function' or local-name() = 'occupation']
Solrizer - xpath query,title_teim,,archdesc[@level='collection']/*[name() != 'dsc']//title
Solrizer - xpath query,title_ssm,,archdesc[@level='collection']/*[name() != 'dsc']//title
Solrizer - xpath query,unitdate_teim,"For each element returned, if the value matches /(\d{4})\/(\d{4})/, take the number on the left of the slash and add to array to be indexed.",archdesc[@level='collection']/did/unitdate[not(@type)]
Solrizer - xpath query,unitdate_end_sim,"For each element returned, if the value matches /(\d{4})\/(\d{4})/, take the number on the left of the slash and add to array to be indexed.",archdesc[@level='collection']/did/unitdate[not(@type)]
Solrizer - xpath query,unitdate_end_ssm,"For each element returned, if the value matches /(\d{4})\/(\d{4})/, take the number on the left of the slash and add to array to be indexed.",archdesc[@level='collection']/did/unitdate[not(@type)]
Solrizer - xpath query,unitdate_end_si,"For each element returned, if the value matches /(\d{4})\/(\d{4})/, take the number on the left of the slash and add to array to be indexed.",archdesc[@level='collection']/did/unitdate[not(@type)]
Solrizer - xpath query,unitdate_start_sim,"For each element returned, if the value matches /(\d{4})\/(\d{4})/, take the number on the left of the slash and add to array to be indexed.",archdesc[@level='collection']/did/unitdate[not(@type)]
Solrizer - xpath query,unitdate_start_ssm,"For each element returned, if the value matches /(\d{4})\/(\d{4})/, take the number on the left of the slash and add to array to be indexed.",archdesc[@level='collection']/did/unitdate[not(@type)]
Solrizer - xpath query,unitdate_start_si,"For each element returned, if the value matches /(\d{4})\/(\d{4})/, take the number on the left of the slash and add to array to be indexed.",archdesc[@level='collection']/did/unitdate[not(@type)]
Solrizer - xpath query,unitdate_bulk_teim,,archdesc[@level='collection']/did/unitdate[@type='bulk']
Solrizer - xpath query,unitdate_inclusive_teim,,archdesc[@level='collection']/did/unitdate[@type='inclusive']
Solrizer - xpath query,unitdate_normal_ssm,,archdesc[@level='collection']/did/unitdate/@normal
Solrizer - xpath query,unitdate_normal_teim,,archdesc[@level='collection']/did/unitdate/@normal
Solrizer - xpath query,unitdate_normal_sim,,archdesc[@level='collection']/did/unitdate/@normal
Solrizer - xpath query,unitid_teim,,archdesc[@level='collection']/did/unitid
Solrizer - xpath query,unitid_ssm,,archdesc[@level='collection']/did/unitid
Solrizer - composite,creator_ssm,"Get elements for each xpath query in the order listed. Flatten returned node sets into one array, remove duplicates, and remove `nil` values.","creator: //origination[@label='creator']/corpname, //origination[@label='creator']/famname, //origination[@label='creator']/persname"
Solrizer - composite,creator_sim,"Get elements for each xpath query in the order listed. Flatten returned node sets into one array, remove duplicates, and remove `nil` values.","creator: //origination[@label='creator']/corpname, //origination[@label='creator']/famname, //origination[@label='creator']/persname"
Solrizer - composite,name_sim,"Get elements for each xpath query in the order listed. Flatten returned node sets into one array, remove `nil` values, and remove duplicates, and for  each element replace strings matching /|w{1}/ (MARC subfield demarcators) with ""--"".","name: //famname, //persname, //*[local-name()!='repository']/corpname"
Solrizer - composite,name_teim,"Get elements for each xpath query in the order listed. Flatten returned node sets into one array, remove `nil` values, and remove duplicates, and for  each element replace strings matching /|w{1}/ (MARC subfield demarcators) with ""--"".","name: //famname, //persname, //*[local-name()!='repository']/corpname"
